paper_figure,paper_workload,repo_usecase,rdt_kind,transport,commit,replicas,operations,write_percentage,response_time_avg_us,throughput_min_ops_per_us,response_node1_us,response_node2_us,response_node3_us,response_node4_us,throughput_node1_ops_per_us,throughput_node2_ops_per_us,throughput_node3_ops_per_us,throughput_node4_ops_per_us,issued_operations_total,state_digest,measurement_runs,status
9,PN-Set,pnset,CRDT,RoCEv2-SoftRoCE,1617b35,4,4000000,20,3.201142500,1.079600000,3.704970000,1.794950000,3.634750000,3.669900000,1.079600000,1.079670000,1.079640000,1.079610000,4000000,6381265218763136040,combined,valid
9,PN-Set,pnset,CRDT,RoCEv2-SoftRoCE,1617b35,4,4000000,25,4.054665000,0.854398000,4.681440000,2.366740000,4.489130000,4.681350000,0.854398000,0.854418000,0.854466000,0.854409000,4000000,11669586830584168673,combined,valid
9,Register,register,CRDT,RoCEv2-SoftRoCE,0952264,3,4000000,0,0.102457267,22.255400000,0.073867500,0.134781000,0.098723300,,40.605400000,22.255400000,30.384300000,,4000000,16294208416658607535,combined,valid
9,Register,register,CRDT,RoCEv2-SoftRoCE,1617b35,3,4000000,15,1.600880000,1.587920000,1.889230000,1.770800000,1.142610000,,1.587930000,1.587990000,1.587920000,,4000000,11507572908762098739,combined,valid
9,Register,register,CRDT,RoCEv2-SoftRoCE,1617b35,3,4000000,20,2.312413333,1.188730000,2.523600000,2.454640000,1.959000000,,1.188730000,1.188770000,1.188750000,,4000000,11637598987358974431,combined,valid
9,Register,register,CRDT,RoCEv2-SoftRoCE,1617b35,3,4000000,25,2.932106667,0.952214000,3.150520000,3.115980000,2.529820000,,0.952214000,0.952215000,0.952228000,,4000000,2251400162726263735,combined,valid
9,Register,register,CRDT,RoCEv2-SoftRoCE,0952264,4,4000000,0,0.093185000,27.705800000,0.075935000,0.076232000,0.076218000,0.144355000,52.660000000,52.455600000,52.465900000,27.705800000,4000000,16294208416658607535,combined,valid
9,Register,register,CRDT,RoCEv2-SoftRoCE,1617b35,4,4000000,15,2.424695000,1.457400000,2.676880000,1.590150000,2.744480000,2.687270000,1.457400000,1.457400000,1.457410000,1.457520000,4000000,11652328974243500399,combined,valid
9,Register,register,CRDT,RoCEv2-SoftRoCE,1617b35,4,4000000,20,3.242847500,1.067390000,3.747440000,2.266720000,3.459850000,3.497380000,1.067390000,1.067390000,1.067390000,1.067430000,4000000,12129953080827252978,combined,valid
9,Register,register,CRDT,RoCEv2-SoftRoCE,1617b35,4,4000000,25,3.909602500,0.883600000,4.526770000,2.227220000,4.358340000,4.526080000,0.883600000,0.883622000,0.883663000,0.883600000,4000000,12508505370069791488,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-SoftRoCE,0952264,3,4000000,0,0.094412933,24.664400000,0.121616000,0.071784800,0.089838000,,24.664400000,41.782900000,33.388400000,,4000000,0,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-SoftRoCE,1617b35,3,4000000,15,1.747483333,1.448730000,2.070710000,1.947040000,1.224700000,,1.448760000,1.448730000,1.448840000,,4000000,4865678677243008054,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-SoftRoCE,1617b35,3,4000000,20,2.311666667,1.107820000,2.707980000,2.592600000,1.634420000,,1.107820000,1.107830000,1.107850000,,4000000,2145364299168620076,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-SoftRoCE,1617b35,3,4000000,25,2.873753333,0.892171000,3.362550000,3.215040000,2.043670000,,0.892171000,0.892178000,0.892208000,,4000000,2066860298982049476,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-SoftRoCE,0952264,4,4000000,0,0.077918250,41.385600000,0.096635000,0.071534000,0.071814000,0.071690000,41.385600000,55.903400000,55.686300000,55.784100000,4000000,0,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-SoftRoCE,1617b35,4,4000000,15,2.643845000,1.341950000,2.980660000,1.885180000,2.798670000,2.910870000,1.341970000,1.341950000,1.342060000,1.341960000,4000000,4865678677243008054,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-SoftRoCE,1617b35,4,4000000,20,3.472152500,0.939611000,3.676810000,1.929650000,4.025210000,4.256940000,0.939611000,0.939642000,0.939622000,0.939624000,4000000,2145364299168620076,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-SoftRoCE,1617b35,4,4000000,25,4.192585000,0.809468000,4.941410000,2.482400000,4.615980000,4.730550000,0.809481000,0.809472000,0.809490000,0.809468000,4000000,2066860298982049476,combined,valid
10,Account,account,WRDT,RoCEv2-SoftRoCE,0952264,3,4000000,0,0.070882800,35.654100000,0.080634600,0.070281200,0.061732600,,35.654100000,36.193500000,36.161500000,,4000000,14043790391931691643,split,valid
10,Account,account,WRDT,RoCEv2-SoftRoCE,1617b35,3,4000000,15,2.514759333,0.494000000,5.482350000,1.318580000,0.743348000,,0.497059000,0.497057000,0.494000000,,4000000,117121267474849683,split,valid
10,Account,account,WRDT,RoCEv2-SoftRoCE,1617b35,3,4000000,20,3.437930667,0.370764000,7.690110000,1.702560000,0.921122000,,0.372276000,0.370764000,0.372271000,,4000000,13283194657606649361,split,valid
10,Account,account,WRDT,RoCEv2-SoftRoCE,1617b35,3,4000000,25,4.621770000,0.289578000,9.660900000,2.085880000,2.118530000,,0.289858000,0.289853000,0.289578000,,4000000,1829149913114650155,split,valid
10,Account,account,WRDT,RoCEv2-SoftRoCE,0952264,4,4000000,0,0.067536375,30.866800000,0.084811100,0.061620900,0.062089200,0.061624300,42.770700000,47.003000000,30.866800000,46.541400000,4000000,14043790391931691643,split,valid
10,Account,account,WRDT,RoCEv2-SoftRoCE,0952264,4,4000000,15,3.338370000,0.473895000,8.116980000,1.720370000,1.728350000,1.787780000,0.476003000,0.473895000,0.476014000,0.475987000,4000000,117121267474849683,split,valid
10,Account,account,WRDT,RoCEv2-SoftRoCE,0952264,4,4000000,20,4.362722500,0.346325000,10.395200000,2.480600000,2.429100000,2.145990000,0.346334000,0.346325000,0.346331000,0.346333000,4000000,13283194657606649361,split,valid
10,Account,account,WRDT,RoCEv2-SoftRoCE,0952264,4,4000000,25,5.447725000,0.290994000,13.123400000,2.797760000,2.902460000,2.967280000,0.292040000,0.292038000,0.292038000,0.290994000,4000000,1829149913114650155,split,valid
10,Courseware,courseware,WRDT,RoCEv2-SoftRoCE,0952264,3,4000000,0,0.063646200,35.129000000,0.064464100,0.063625800,0.062848700,,35.330700000,35.562800000,35.129000000,,4000000,8489471839804416370,split,valid
10,Courseware,courseware,WRDT,RoCEv2-SoftRoCE,1617b35,3,4000000,15,3.255427333,0.321109000,8.432650000,0.647065000,0.686567000,,0.322380000,0.322379000,0.321109000,,4000000,18410156863159335238,split,valid
10,Courseware,courseware,WRDT,RoCEv2-SoftRoCE,1617b35,3,4000000,20,4.573125333,0.233855000,11.943500000,0.879320000,0.896556000,,0.234451000,0.233855000,0.234450000,,4000000,1672151186362139358,split,valid
10,Courseware,courseware,WRDT,RoCEv2-SoftRoCE,1617b35,3,4000000,25,5.365803333,0.206138000,13.915000000,1.073880000,1.108530000,,0.206173000,0.206170000,0.206138000,,4000000,7426290418496953138,split,valid
10,Courseware,courseware,WRDT,RoCEv2-SoftRoCE,0952264,4,4000000,0,0.072384700,30.684700000,0.062736300,0.074284600,0.076109200,0.076408700,37.916100000,47.069900000,30.684700000,47.100900000,4000000,8489471839804416370,split,valid
10,Courseware,courseware,WRDT,RoCEv2-SoftRoCE,0952264,4,4000000,15,4.055383500,0.331000000,13.567600000,0.864530000,0.880749000,0.908655000,0.332358000,0.332360000,0.332359000,0.331000000,4000000,5147764589113400269,split,valid
10,Courseware,courseware,WRDT,RoCEv2-SoftRoCE,0952264,4,4000000,20,4.790857500,0.191956000,15.610100000,1.171570000,1.197360000,1.184400000,0.191958000,0.191959000,0.191957000,0.191956000,4000000,10742772742682883101,split,valid
10,Courseware,courseware,WRDT,RoCEv2-SoftRoCE,0952264,4,4000000,25,6.655035000,0.191923000,22.307600000,1.407250000,1.409680000,1.495610000,0.192187000,0.192186000,0.191923000,0.192186000,4000000,2159123977738474734,split,valid
