paper_figure,paper_workload,repo_usecase,rdt_kind,transport,commit,replicas,operations,write_percentage,response_time_avg_us,throughput_min_ops_per_us,response_node1_us,response_node2_us,response_node3_us,response_node4_us,throughput_node1_ops_per_us,throughput_node2_ops_per_us,throughput_node3_ops_per_us,throughput_node4_ops_per_us,issued_operations_total,state_digest,measurement_runs,status
9,PN-Set,pnset,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,0,0.092831250,27.163600000,0.074837000,0.147236000,0.074680000,0.074572000,53.435900000,27.163600000,53.547500000,53.626500000,4000000,0,combined,valid
9,PN-Set,pnset,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,15,0.235107750,14.730800000,0.225929000,0.271287000,0.223063000,0.220152000,14.730800000,14.742800000,14.760000000,14.740000000,4000000,4158281071620603130,combined,valid
9,PN-Set,pnset,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,20,0.296473750,12.067400000,0.287742000,0.331030000,0.278074000,0.289049000,12.067400000,12.082500000,12.076500000,12.077700000,4000000,6381265218763136040,combined,valid
9,PN-Set,pnset,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,25,0.351730250,10.583600000,0.328608000,0.377644000,0.326081000,0.374588000,10.583600000,10.591100000,10.596500000,10.587600000,4000000,11669586830584168673,combined,valid
9,Register,register,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,0,0.172138667,15.358000000,0.160243000,0.195323000,0.160850000,,18.719800000,15.358000000,18.649300000,,4000000,16294208416658607535,combined,valid
9,Register,register,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,15,0.301314667,9.041840000,0.289193000,0.331572000,0.283179000,,9.041840000,9.047280000,9.045890000,,4000000,11049025408135815239,combined,valid
9,Register,register,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,20,0.349892333,8.017410000,0.338207000,0.374048000,0.337422000,,8.017410000,8.019950000,8.024470000,,4000000,8215207218735415748,combined,valid
9,Register,register,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,25,0.385676000,7.470320000,0.401568000,0.389079000,0.366381000,,7.470320000,7.473650000,7.471160000,,4000000,9767238149798669058,combined,valid
9,Register,register,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,0,0.161446750,21.676300000,0.184511000,0.148287000,0.165744000,0.147245000,21.676300000,26.971400000,24.131000000,27.162500000,4000000,16294208416658607535,combined,valid
9,Register,register,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,15,0.321187250,12.231300000,0.320044000,0.325725000,0.312303000,0.326677000,12.231300000,12.248600000,12.242000000,12.243700000,4000000,13327906894060735897,combined,valid
9,Register,register,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,20,0.386957250,9.659710000,0.385341000,0.413856000,0.380766000,0.367866000,9.659710000,9.664640000,9.671270000,9.661300000,4000000,16962764437016519203,combined,valid
9,Register,register,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,25,0.440283500,8.308960000,0.423070000,0.480992000,0.417959000,0.439113000,8.308960000,8.315700000,8.314900000,8.314940000,4000000,13725062111804758299,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,0,0.108779400,22.821400000,0.096977200,0.131438000,0.097923000,,30.930300000,22.821400000,30.632100000,,4000000,0,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,15,0.318433667,8.255350000,0.296959000,0.363149000,0.295193000,,8.255350000,8.260500000,8.259410000,,4000000,4865678677243008054,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,20,0.376715000,7.587070000,0.395382000,0.366304000,0.368459000,,7.587070000,7.593090000,7.588420000,,4000000,2145364299168620076,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,25,0.456704000,6.067990000,0.439146000,0.494170000,0.436796000,,6.067990000,6.070490000,6.070420000,,4000000,2066860298982049476,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,0,0.092970500,27.021200000,0.074185000,0.074903000,0.148014000,0.074780000,53.904700000,53.388100000,27.021200000,53.476700000,4000000,0,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,15,0.359925000,9.485170000,0.343113000,0.421333000,0.339487000,0.335767000,9.485170000,9.492980000,9.489650000,9.490250000,4000000,4865678677243008054,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,20,0.448903250,7.975320000,0.431005000,0.501321000,0.439429000,0.423858000,7.975320000,7.978310000,7.977170000,7.983540000,4000000,2145364299168620076,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,25,0.532551500,6.870630000,0.513452000,0.581801000,0.523260000,0.511693000,6.870630000,6.874800000,6.874210000,6.874280000,4000000,2066860298982049476,combined,valid
10,Account,account,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,0,0.074089967,31.840300000,0.085787700,0.068170100,0.068312100,,31.968800000,32.177900000,31.840300000,,4000000,14043790391931691643,split,valid
10,Account,account,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,15,0.225305333,8.372470000,0.335278000,0.167566000,0.173072000,,8.372470000,8.378770000,8.375260000,,4000000,117121267474849683,split,valid
10,Account,account,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,20,0.272351667,7.325790000,0.421035000,0.196694000,0.199326000,,7.325790000,7.327420000,7.328130000,,4000000,13283194657606649361,split,valid
10,Account,account,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,25,0.319678667,6.127880000,0.501627000,0.229671000,0.227738000,,6.127880000,6.130610000,6.128350000,,4000000,1829149913114650155,split,valid
10,Account,account,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,0,0.072428600,34.124500000,0.084941300,0.068174100,0.068305200,0.068293800,34.124500000,40.938300000,42.676700000,42.407000000,4000000,14043790391931691643,split,valid
10,Account,account,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,15,0.268126000,8.312220000,0.488863000,0.193269000,0.197038000,0.193334000,8.313950000,8.312220000,8.312740000,8.321080000,4000000,117121267474849683,split,valid
10,Account,account,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,20,0.326887000,6.596840000,0.605764000,0.235332000,0.231140000,0.235312000,6.596840000,6.596960000,6.601180000,6.597440000,4000000,13283194657606649361,split,valid
10,Account,account,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,25,0.387192500,5.764640000,0.722905000,0.275801000,0.275714000,0.274350000,5.764640000,5.764690000,5.767940000,5.765660000,4000000,1829149913114650155,split,valid
10,Courseware,courseware,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,0,0.069945367,30.684700000,0.070322200,0.069663300,0.069850600,,30.684700000,31.858800000,30.935800000,,4000000,8489471839804416370,split,valid
10,Courseware,courseware,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,15,0.248598667,6.346510000,0.498381000,0.124500000,0.122915000,,6.346680000,6.348720000,6.346510000,,4000000,3643099540125579756,split,valid
10,Courseware,courseware,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,20,0.315399000,4.833170000,0.667314000,0.139373000,0.139510000,,4.833170000,4.833690000,4.834110000,,4000000,17161854463373921570,split,valid
10,Courseware,courseware,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,25,0.367076000,4.102830000,0.788182000,0.155102000,0.157944000,,4.102830000,4.103570000,4.103400000,,4000000,951557721325527085,split,valid
10,Courseware,courseware,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,0,0.071020700,34.115700000,0.073569600,0.069804000,0.069742100,0.070967100,42.053000000,40.667800000,34.115700000,42.387200000,4000000,8489471839804416370,split,valid
10,Courseware,courseware,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,15,0.285179500,5.547590000,0.744442000,0.132420000,0.131587000,0.132269000,5.547740000,5.547590000,5.547740000,5.551630000,4000000,11040694961795584819,split,valid
10,Courseware,courseware,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,20,0.360293750,4.376860000,0.973470000,0.161668000,0.153673000,0.152364000,4.376910000,4.377210000,4.376860000,4.378850000,4000000,3960445864245206930,split,valid
10,Courseware,courseware,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,25,0.421006500,3.683480000,1.162710000,0.175029000,0.172970000,0.173317000,3.683480000,3.685050000,3.683820000,3.684380000,4000000,12432797570809341854,split,valid
10,Movie,movie,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,0,0.141666667,15.946900000,0.135322000,0.145140000,0.144538000,,15.946900000,16.961900000,31.592100000,,4000000,0,split,valid
10,Movie,movie,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,15,0.390921333,5.183880000,0.566570000,0.444861000,0.161333000,,5.183880000,5.200540000,5.200120000,,4000000,14762731705796574811,split,valid
10,Movie,movie,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,20,0.511330333,4.369630000,0.687779000,0.718098000,0.128114000,,4.483080000,4.369630000,4.460320000,,4000000,15009169150328509456,split,valid
10,Movie,movie,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,25,0.609606333,3.605770000,0.846214000,0.849605000,0.133000000,,3.606000000,3.605770000,3.606950000,,4000000,11078848321390510511,split,valid
10,Movie,movie,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,0,0.132624750,20.056900000,0.116200000,0.137586000,0.147780000,0.128933000,21.483700000,22.891800000,23.109200000,20.056900000,4000000,0,split,valid
10,Movie,movie,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,15,0.484987500,4.745010000,0.867724000,0.823757000,0.148164000,0.100305000,4.745470000,4.745270000,4.745010000,4.748210000,4000000,1998603870786183472,split,valid
10,Movie,movie,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,20,0.498246000,4.079070000,0.802597000,0.956616000,0.100235000,0.133536000,4.079070000,4.142730000,4.140700000,4.083820000,4000000,11154158433044844848,split,valid
10,Movie,movie,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,25,0.585207000,3.519820000,0.969591000,1.128140000,0.106446000,0.136651000,3.522710000,3.520220000,3.519820000,3.519950000,4000000,4944094899901793167,split,valid
10,Project,project,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,0,0.069253600,31.565700000,0.069539200,0.069123500,0.069098100,,31.565700000,32.101200000,32.233600000,,4000000,17102691784853259046,split,valid
10,Project,project,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,15,0.248121000,5.971280000,0.498706000,0.122748000,0.122909000,,5.971280000,5.972900000,5.972740000,,4000000,10044825709723270251,split,valid
10,Project,project,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,20,0.311927000,4.745800000,0.655920000,0.139457000,0.140404000,,4.745800000,4.746080000,4.747650000,,4000000,4673960270467538591,split,valid
10,Project,project,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,25,0.367534667,4.124620000,0.790187000,0.156235000,0.156182000,,4.124620000,4.124970000,4.125080000,,4000000,8177130097958029238,split,valid
10,Project,project,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,0,0.069617475,40.419600000,0.069575000,0.069139900,0.069030200,0.070724800,40.419600000,41.505000000,42.842600000,41.681400000,4000000,17102691784853259046,split,valid
10,Project,project,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,15,0.282230000,5.517250000,0.732705000,0.132193000,0.132268000,0.131754000,5.517330000,5.517250000,5.517420000,5.519990000,4000000,9622532979418333132,split,valid
10,Project,project,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,20,0.357602750,4.387600000,0.972508000,0.153056000,0.152985000,0.151862000,4.387600000,4.388680000,4.389040000,4.388460000,4000000,15099369258473713545,split,valid
10,Project,project,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,25,0.417228750,3.601420000,1.151560000,0.173171000,0.170821000,0.173363000,3.601750000,3.602090000,3.601420000,3.603100000,4000000,7369665373476675321,split,valid
10,Auction,rubis,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,0,0.068988900,31.097700000,0.069409500,0.068815900,0.068741300,,31.648800000,31.459400000,31.097700000,,4000000,18282393915216984294,split,valid
10,Auction,rubis,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,15,0.211288200,6.245610000,0.496078000,0.068855500,0.068931100,,6.245610000,6.247720000,6.246200000,,4000000,8192931554730171333,split,valid
10,Auction,rubis,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,20,0.252075367,4.992570000,0.618635000,0.068880300,0.068710800,,4.992740000,4.992570000,4.994830000,,4000000,14222185101692553684,split,valid
10,Auction,rubis,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,3,4000000,25,0.293961100,4.355630000,0.744038000,0.068921600,0.068923700,,4.355630000,4.356390000,4.356110000,,4000000,3112370331139277183,split,valid
10,Auction,rubis,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,0,0.069016950,41.270700000,0.069305500,0.068959900,0.068847800,0.068954600,41.270700000,42.832500000,42.024300000,42.955800000,4000000,18282393915216984294,split,valid
10,Auction,rubis,WRDT,RoCEv2-Hardware-mlx5_0-GCC8.3-4physical,736bbd6,4,4000000,15,0.239802350,5.829750000,0.752318000,0.068801800,0.068891600,0.069198000,5.829900000,5.830280000,5.833750000,5.829750000,4000000,16316409805861028699,split,valid
