paper_figure,paper_workload,repo_usecase,rdt_kind,transport,commit,replicas,operations,write_percentage,response_time_avg_us,throughput_min_ops_per_us,response_node1_us,response_node2_us,response_node3_us,response_node4_us,throughput_node1_ops_per_us,throughput_node2_ops_per_us,throughput_node3_ops_per_us,throughput_node4_ops_per_us,issued_operations_total,state_digest,measurement_runs,status
9,PN-Set,pnset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,15,0.269951000,13.189700000,0.247831000,0.302889000,0.241023000,0.288061000,13.189700000,13.205100000,13.200400000,13.201500000,4000000,4158281071620603130,combined,valid
9,PN-Set,pnset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,20,0.322166250,11.950000000,0.330660000,0.305331000,0.318227000,0.334447000,11.950000000,11.965500000,11.958900000,11.958900000,4000000,6381265218763136040,combined,valid
9,PN-Set,pnset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,25,0.382966500,9.486970000,0.374516000,0.369897000,0.366060000,0.421393000,9.486970000,9.489980000,9.496450000,9.491610000,4000000,11669586830584168673,combined,valid
9,Register,register,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,0,0.095591833,21.579400000,0.073683000,0.139009000,0.074083500,,40.707100000,21.579400000,40.487900000,,4000000,16294208416658607535,combined,valid
9,Register,register,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,15,0.246712667,10.888600000,0.238633000,0.275282000,0.226223000,,10.888600000,10.897000000,10.893000000,,4000000,11271253297489888893,combined,valid
9,Register,register,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,20,0.286667667,9.654210000,0.310723000,0.270770000,0.278510000,,9.654210000,9.660790000,9.656730000,,4000000,4284076498645106326,combined,valid
9,Register,register,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,25,0.353180000,7.969600000,0.336281000,0.376236000,0.347023000,,7.969600000,7.973210000,7.975990000,,4000000,14291623112434558279,combined,valid
9,Register,register,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,0,0.096605500,26.691000000,0.073936000,0.149846000,0.074456000,0.088184000,54.089100000,26.691000000,53.711500000,45.347900000,4000000,16294208416658607535,combined,valid
9,Register,register,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,15,0.296556000,12.182200000,0.288991000,0.287217000,0.282765000,0.327251000,12.182200000,12.195600000,12.190100000,12.222100000,4000000,12212360437225229611,combined,valid
9,Register,register,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,20,0.355576500,10.129700000,0.346069000,0.394431000,0.348854000,0.332952000,10.129700000,10.140400000,10.138200000,10.138000000,4000000,16309867105547115112,combined,valid
9,Register,register,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,25,0.417731750,8.946340000,0.393825000,0.446661000,0.422130000,0.408311000,8.946340000,8.954660000,8.952770000,8.951050000,4000000,14379351135495576104,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,0,0.085279767,26.701600000,0.112341000,0.071663300,0.071835000,,26.701600000,41.854100000,41.754100000,,4000000,0,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,15,0.334502000,8.561590000,0.350382000,0.314834000,0.338290000,,8.561590000,8.567550000,8.564140000,,4000000,4865678677243008054,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,20,0.401653667,6.844420000,0.382083000,0.438027000,0.384851000,,6.844420000,6.848530000,6.848650000,,4000000,2145364299168620076,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,25,0.475198667,5.925340000,0.461011000,0.506105000,0.458480000,,5.925340000,5.927360000,5.927050000,,4000000,2066860298982049476,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,0,0.090269750,27.436000000,0.071726000,0.145777000,0.072013000,0.071563000,55.756900000,27.436000000,55.531600000,55.883100000,4000000,0,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,15,0.382995250,9.838360000,0.406542000,0.356862000,0.365595000,0.402982000,9.838360000,9.848140000,9.841600000,9.843050000,4000000,4865678677243008054,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,20,0.486786500,7.338530000,0.467181000,0.469827000,0.465434000,0.544704000,7.338530000,7.341110000,7.340720000,7.343010000,4000000,2145364299168620076,combined,valid
9,2P-Set,twopset,CRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,25,0.592553500,6.267750000,0.583876000,0.638011000,0.559851000,0.588476000,6.267750000,6.269170000,6.271080000,6.268600000,4000000,2066860298982049476,combined,valid
10,Account,account,WRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,0,0.068147367,31.741200000,0.078288200,0.063174400,0.062979500,,36.186700000,33.947500000,31.741200000,,4000000,14043790391931691643,split,valid
10,Account,account,WRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,15,0.239184333,8.767830000,0.355289000,0.180249000,0.182015000,,8.767830000,8.773160000,8.769410000,,4000000,117121267474849683,split,valid
10,Account,account,WRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,20,0.296138333,6.841190000,0.447703000,0.215498000,0.225214000,,6.841190000,6.843560000,6.842190000,,4000000,13283194657606649361,split,valid
10,Account,account,WRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,25,0.346908000,5.970170000,0.519745000,0.258976000,0.262003000,,5.970170000,5.970880000,5.970350000,,4000000,1829149913114650155,split,valid
10,Account,account,WRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,0,0.070999625,29.754400000,0.083967600,0.061847300,0.073921900,0.064261700,37.394700000,29.754400000,29.959200000,47.680900000,4000000,14043790391931691643,split,valid
10,Account,account,WRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,15,0.292080500,7.894860000,0.496060000,0.225077000,0.223260000,0.223925000,7.895200000,7.896740000,7.894860000,7.901530000,4000000,117121267474849683,split,valid
10,Account,account,WRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,20,0.363416250,6.248890000,0.644314000,0.278966000,0.256082000,0.274303000,6.248890000,6.252300000,6.251130000,6.252480000,4000000,13283194657606649361,split,valid
10,Account,account,WRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,25,0.437065250,5.117430000,0.802616000,0.318416000,0.304190000,0.323039000,5.117430000,5.119780000,5.118960000,5.118310000,4000000,1829149913114650155,split,valid
10,Courseware,courseware,WRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,0,0.066990133,28.426700000,0.065041200,0.073060200,0.062869000,,35.426800000,35.371300000,28.426700000,,4000000,8489471839804416370,split,valid
10,Courseware,courseware,WRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,15,0.266300667,6.007970000,0.546658000,0.125805000,0.126439000,,6.008290000,6.007970000,6.011200000,,4000000,18410156863159335238,split,valid
10,Courseware,courseware,WRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,20,0.333432000,4.673890000,0.697998000,0.146678000,0.155620000,,4.673890000,4.675260000,4.674640000,,4000000,1672151186362139358,split,valid
10,Courseware,courseware,WRDT,RoCEv2-Hardware-mlx5_0,736bbd6,3,4000000,25,0.392802000,3.784580000,0.821425000,0.178865000,0.178116000,,3.784580000,3.785070000,3.785330000,,4000000,7426290418496953138,split,valid
10,Courseware,courseware,WRDT,RoCEv2-Hardware-mlx5_0,736bbd6,4,4000000,0,0.067448250,31.596600000,0.065475600,0.078765100,0.062773800,0.062778500,47.612200000,47.457500000,31.596600000,41.840100000,4000000,8489471839804416370,split,valid
