paper_figure,paper_workload,repo_usecase,rdt_kind,transport,commit,slurm_job_id,fixed_node_set,registry_node,replica_nodes,replicas,operations,write_percentage,failure_scenario,failed_node,failure_injection,surviving_replicas,response_time_avg_us,throughput_min_ops_per_us,throughput_min_ops_per_s,response_node1_us,response_node2_us,response_node3_us,response_node4_us,response_node5_us,response_node6_us,response_node7_us,response_node8_us,throughput_node1_ops_per_us,throughput_node2_ops_per_us,throughput_node3_ops_per_us,throughput_node4_ops_per_us,throughput_node5_ops_per_us,throughput_node6_ops_per_us,throughput_node7_ops_per_us,throughput_node8_ops_per_us,issued_operations_total,workload_digest,state_digest,measurement_runs,status
14,Account follower-failure,account,WRDT,InfiniBand,c9d46134fd57a617706c703e406ac142e67e40c8,2033631,ac030;ac037;ac044;ac107;ac108,ac030,ac037;ac044;ac107;ac108,4,4000000,15,follower-failure,2,process-stop-after-half-local-operations,3,0.271204000,6.318240000,6318240.000,0.454539000,,0.149632000,0.209441000,,,,,6.318240000,,6.320730000,6.318910000,,,,,4000000,ed201e10eeefddee1d1f250e9d31e5d4acf6960665e74121c0cf6e69357ebbb7,117121267474849683,split,valid
14,Account follower-failure,account,WRDT,InfiniBand,c9d46134fd57a617706c703e406ac142e67e40c8,2033631,ac030;ac037;ac044;ac107;ac108,ac030,ac037;ac044;ac107;ac108,4,4000000,20,follower-failure,2,process-stop-after-half-local-operations,3,0.350010000,6.492380000,6492380.000,0.601933000,,0.221309000,0.226788000,,,,,6.494550000,,6.492380000,6.493940000,,,,,4000000,703f81374705a8a9b237146adf4788589ffa74d3d11de9b049017327187a8b6f,13283194657606649361,split,valid
14,Account follower-failure,account,WRDT,InfiniBand,c9d46134fd57a617706c703e406ac142e67e40c8,2033631,ac030;ac037;ac044;ac107;ac108,ac030,ac037;ac044;ac107;ac108,4,4000000,25,follower-failure,2,process-stop-after-half-local-operations,3,0.406500667,5.295440000,5295440.000,0.701463000,,0.248212000,0.269827000,,,,,5.297340000,,5.296010000,5.295440000,,,,,4000000,92214968e6992fb7b19b58e2e31f27370320f74e598f863978f570de91b772f4,1829149913114650155,split,valid
14,Account leader-failure,account,WRDT,InfiniBand,c9d46134fd57a617706c703e406ac142e67e40c8,2033631,ac030;ac037;ac044;ac107;ac108,ac030,ac037;ac044;ac107;ac108,4,4000000,15,leader-failure,1,leader-heartbeat-and-request-stop-after-half-local-operations,3,0.192113000,0.736188000,736188.000,,0.245309000,0.148643000,0.182387000,,,,,,0.736206000,0.736213000,0.736188000,,,,,4000000,ed201e10eeefddee1d1f250e9d31e5d4acf6960665e74121c0cf6e69357ebbb7,117121267474849683,split,valid
14,Account leader-failure,account,WRDT,InfiniBand,c9d46134fd57a617706c703e406ac142e67e40c8,2033631,ac030;ac037;ac044;ac107;ac108,ac030,ac037;ac044;ac107;ac108,4,4000000,20,leader-failure,1,leader-heartbeat-and-request-stop-after-half-local-operations,3,0.246573667,0.709543000,709543.000,,0.295500000,0.191199000,0.253022000,,,,,,0.709653000,0.709686000,0.709543000,,,,,4000000,703f81374705a8a9b237146adf4788589ffa74d3d11de9b049017327187a8b6f,13283194657606649361,split,valid
14,Account leader-failure,account,WRDT,InfiniBand,c9d46134fd57a617706c703e406ac142e67e40c8,2033631,ac030;ac037;ac044;ac107;ac108,ac030,ac037;ac044;ac107;ac108,4,4000000,25,leader-failure,1,leader-heartbeat-and-request-stop-after-half-local-operations,3,0.280059000,0.718141000,718141.000,,0.363000000,0.204104000,0.273073000,,,,,,0.718141000,0.718195000,0.718147000,,,,,4000000,92214968e6992fb7b19b58e2e31f27370320f74e598f863978f570de91b772f4,1829149913114650155,split,valid
14,2P-Set replica-failure,twopset,CRDT,InfiniBand,c9d46134fd57a617706c703e406ac142e67e40c8,2033631,ac030;ac037;ac044;ac107;ac108,ac030,ac037;ac044;ac107;ac108,4,4000000,15,replica-failure,1,process-stop-after-half-local-operations,3,0.348909000,8.008020000,8008020.000,,0.332850000,0.317293000,0.396584000,,,,,,8.010610000,8.008020000,8.020450000,,,,,4000000,68946e038083746ad4004bcb781279439df1b6966f5d4ba745e3da26cc0ec146,4865678677243008054,combined,valid
14,2P-Set replica-failure,twopset,CRDT,InfiniBand,c9d46134fd57a617706c703e406ac142e67e40c8,2033631,ac030;ac037;ac044;ac107;ac108,ac030,ac037;ac044;ac107;ac108,4,4000000,20,replica-failure,1,process-stop-after-half-local-operations,3,0.439940333,6.321700000,6321700.000,,0.421471000,0.369430000,0.528920000,,,,,,6.326440000,6.321700000,6.322750000,,,,,4000000,757d6ce74767ddf4dcccfaadb2ebee030a069c43f2956d1c5299599b968c05b6,2145364299168620076,combined,valid
14,2P-Set replica-failure,twopset,CRDT,InfiniBand,c9d46134fd57a617706c703e406ac142e67e40c8,2033631,ac030;ac037;ac044;ac107;ac108,ac030,ac037;ac044;ac107;ac108,4,4000000,25,replica-failure,1,process-stop-after-half-local-operations,3,0.543111333,5.153740000,5153740.000,,0.517231000,0.490689000,0.621414000,,,,,,5.155300000,5.153740000,5.158570000,,,,,4000000,ef1f2dd54b5a4ab78b07a9f4afe9b07f7487ac582d7bf0269cc7cb50bf474758,2066860298982049476,combined,valid
